,#name_w_spin,metal,Ox,spin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,SSE
53,cr_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,cr,2,3,-0.25435,-0.22622,-0.2262,-0.21085,-0.09091,0.0808,-0.38508,-0.3851,0.58724,0.58724,0.58711,0.5871,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-25.25210054
273,fe_3_misc_misc_misc_misc_misc_carbonyl,fe,3,4,-0.70876,-0.68977,-0.66459,-0.43145,-0.41475,0.63268,0.29145,0.27427,0.27427,0.27417,0.27422,0.56415,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,26.43254725
490,mn_3_water_water_water_water_cyanide_cyanide,mn,3,3,-0.51657,-0.49983,-0.4818,-0.44649,-0.31289,0.9301,-0.06326,-0.07274,-0.86095,-0.83767,-0.85399,-0.87,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-31.77492894
294,fe_3_water_water_water_water_water_chloride,fe,3,4,-0.71314,-0.69763,-0.67072,-0.65459,-0.59932,1.24131,-0.90714,-0.89795,-0.901,-0.89113,-0.8919,-0.16058,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,-5.449849049
81,cr_2_misc_misc_misc_misc_hydrogensulfide_hydrogensulfide,cr,2,3,-0.50461,-0.50373,-0.48788,-0.48753,-0.29793,0.2032,0.35197,0.35181,0.35143,0.35077,-0.24587,-0.25165,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-25.78456788
99,cr_2_phosphine_phosphine_phosphine_phosphine_water_water,cr,2,3,-0.54029,-0.51563,-0.51326,-0.47088,-0.3721,0.46982,-0.90286,-0.90288,0.06407,0.06401,0.03279,0.0328,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-25.09142033
156,fe_2_carbonyl_carbonyl_carbonyl_carbonyl_phosphine_phosphine,fe,2,3,-0.70739,-0.68828,-0.68785,-0.64919,-0.60935,0.46629,0.52133,0.52007,0.5182,0.51696,-0.00452,-0.00456,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,37.40997502
8,co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,co,3,3,-0.72615,-0.72461,-0.72415,-0.39183,-0.38527,1.24266,-0.49899,-0.49939,-0.83729,-0.83736,-0.50988,-0.50995,0.1075471399999514,0.1699937999999292,0.4691007599999466,3.535931779999828,6.848655710000003,11.67702611
478,mn_3_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,mn,3,3,-0.79399,-0.789,-0.78641,-0.77709,-0.60346,0.44228,0.10769,0.10753,0.11327,0.11402,-0.23728,-0.23766,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-29.95132213
328,mn_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_chloride,mn,2,4,-0.50956,-0.50954,-0.50744,-0.50583,-0.45785,0.61031,-0.39593,0.51512,0.5041,0.5044,0.50539,0.50568,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,20.17445905
360,mn_2_misc_misc_misc_misc_misc_carbonyl,mn,2,4,-0.53276,-0.53274,-0.53272,-0.4791,-0.45466,0.69722,0.25762,0.24793,0.24793,0.24795,0.24797,0.5076,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,27.76106123
497,mn_3_water_water_water_water_water_cyanide,mn,3,3,-0.67611,-0.67266,-0.65149,-0.61472,-0.48682,1.17816,-0.0196,-0.88872,-0.86515,-0.86466,-0.89844,-0.9234,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-32.06417967
96,cr_2_phosphine_phosphine_phosphine_phosphine_phosphine_hydrogensulfide,cr,2,3,-0.54525,-0.52531,-0.52475,-0.46482,-0.37528,0.25682,0.06528,0.06692,0.06577,0.06474,-0.05788,-0.29131,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-27.34271913
85,cr_2_misc_misc_misc_misc_misc_water,cr,2,3,-0.48417,-0.46326,-0.46172,-0.40781,-0.28043,0.17704,0.37481,0.38065,0.37053,0.37035,0.2883,-0.88101,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-24.21033354
136,fe_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,fe,2,3,-0.25511,-0.24666,-0.22342,-0.20687,-0.16847,0.83663,-0.17705,-0.17788,-1.03403,-1.03183,-1.03398,-1.03191,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,-12.63247911
316,mn_2_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,mn,2,4,-0.3998,-0.39849,-0.39818,-0.39539,-0.30886,1.06607,-1.06442,-1.08024,-1.08147,-1.08077,-1.0791,-0.63524,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,7.468122012
200,fe_2_water_water_water_water_carbonyl_carbonyl,fe,2,3,-0.70179,-0.69368,-0.62451,-0.61219,-0.59722,1.05994,-0.91895,-0.91899,-0.9215,-0.92153,0.48836,0.4883,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,-2.330258385
121,fe_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl_carbonyl,fe,2,3,-0.5779,-0.57766,-0.55031,-0.53201,-0.53078,0.89957,-0.49791,-0.49785,-0.49779,-0.49772,0.54156,0.54146,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,15.1935043
405,mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,mn,3,3,-0.6687,-0.6592,-0.64252,-0.53614,-0.44681,1.01491,-1.00724,-1.02108,-1.02842,-0.23154,-1.06472,-1.06531,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-35.29986596
37,cr_2_ammonia_ammonia_ammonia_ammonia_ammonia_cyanide,cr,2,3,-0.34526,-0.3284,-0.32828,-0.2784,-0.16417,0.72885,-0.12817,-1.02131,-1.02242,-1.02699,-1.05866,-1.06017,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-31.88843295
173,fe_2_misc_misc_misc_misc_chloride_chloride,fe,2,3,-0.28696,-0.23947,-0.18725,-0.16024,-0.0061,0.55842,0.32405,0.32392,0.32448,0.32448,-0.56407,-0.56472,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,23.24085569
271,fe_3_misc_misc_misc_misc_misc_acetonitrile,fe,3,4,-0.65545,-0.6435,-0.39234,-0.3877,-0.38763,0.72868,-0.49575,0.29173,0.29144,0.29136,0.29146,0.29138,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,21.85820016
137,fe_2_ammonia_ammonia_ammonia_ammonia_misc_misc,fe,2,3,-0.57884,-0.57304,-0.52476,-0.48658,-0.47926,0.93286,-1.05901,-1.059,0.20977,0.20976,-1.05841,-1.05843,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,7.869471133
338,mn_2_carbonyl_carbonyl_water_water_water_water,mn,2,4,-0.62165,-0.62081,-0.61233,-0.58165,-0.57487,1.18215,-0.93188,-0.93836,-0.93425,-0.93456,0.47294,0.46953,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,6.216885897
359,mn_2_misc_misc_misc_misc_misc_ammonia,mn,2,4,-0.51458,-0.51419,-0.51413,-0.44429,-0.43957,0.76839,-1.0608,0.25607,0.24867,0.24942,0.24775,0.2487,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,21.10949288
233,fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_fluoride,fe,3,4,-0.74743,-0.73819,-0.63246,-0.58237,-0.56738,1.33438,-0.42881,-1.05822,-1.05652,-1.05473,-1.0563,-1.0673,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,7.525476426
337,mn_2_carbonyl_carbonyl_carbonyl_carbonyl_water_water,mn,2,4,-0.69828,-0.67757,-0.67428,-0.62018,-0.61194,0.98086,-0.93458,-0.93458,0.48916,0.48916,0.48095,0.48094,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,20.25621733
397,mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_phosphine_phosphine,mn,3,3,-0.69508,-0.69432,-0.6898,-0.63822,-0.55514,0.81981,-0.51736,-0.51741,-0.51837,-0.5184,0.23572,0.23549,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-40.85762791
454,mn_3_fluoride_fluoride_ammonia_ammonia_ammonia_ammonia,mn,3,3,-0.42274,-0.42065,-0.41749,-0.36268,-0.23372,1.17795,-0.44995,-0.45251,-1.02524,-1.02532,-1.06693,-1.06915,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-31.17039208
247,fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_ammonia,fe,3,4,-0.87677,-0.85555,-0.58476,-0.57529,-0.57475,0.81529,-1.01871,0.55165,0.55073,0.55186,0.55112,0.53472,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,19.18520209
15,co_3_misc_misc_water_water_water_water,co,3,3,-0.79933,-0.79602,-0.79008,-0.78068,-0.74795,1.12036,-0.86329,-0.86513,-0.87694,-0.86585,0.2502,0.25071,0.1075471399999514,0.1699937999999292,0.4691007599999466,3.535931779999828,6.848655710000003,14.1301635
423,mn_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_chloride,mn,3,3,-0.76594,-0.76586,-0.74405,-0.65501,-0.55162,0.30099,0.08837,0.61931,0.57282,0.5726,0.57164,0.57129,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-26.6270377
391,mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl_carbonyl,mn,3,3,-0.73684,-0.73102,-0.73102,-0.70757,-0.57614,0.94679,-0.47891,-0.4789,-0.47897,-0.47899,0.53766,0.53758,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-29.35868286
36,cr_2_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,cr,2,3,-0.33076,-0.32675,-0.31371,-0.27373,-0.15929,0.76812,-1.01792,-1.03137,-1.02905,-0.52907,-1.06449,-1.06699,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-27.3830492
484,mn_3_phosphine_phosphine_phosphine_phosphine_phosphine_water,mn,3,3,-0.78809,-0.78753,-0.77904,-0.75305,-0.60166,0.53245,-0.91705,0.11231,0.10956,0.10093,0.101,-0.04349,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-29.19136987
300,mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,mn,2,4,-0.52671,-0.52665,-0.52579,-0.48983,-0.47692,1.13392,-0.49761,-0.49636,-0.49518,-0.4951,-0.49385,0.50406,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,7.493366739
